ID_MAPA,Subdistrict (English),District (English),year_week,Cases
TH100303,Khlong Sip,Nong Chok,2025-W29,0
TH102601,Din Daeng,Din Daeng,2025-W29,4
TH101702,Bang Kapi,Huai Khwang,2025-W29,0
TH103002,Sena Nikhom,Chatuchak,2025-W29,3
TH103005,Chatuchak,Chatuchak,2025-W29,3
TH101001,Min Buri,Min Buri,2025-W29,2
TH100905,Bang Chak,Phra Khanong,2025-W29,1
TH103102,Wat Phraya Krai,Bang Kho Laem,2025-W29,0
TH102901,Bang Sue,Bang Sue,2025-W29,1
TH103502,Bang Kho,Chom Thong,2025-W29,1
TH102801,Thung Wat Don,Sathon,2025-W29,0
TH102004,Siriraj,Bangkok Noi,2025-W29,1
TH104902,Thung Khru,Thung Khru,2025-W29,1
TH104301,Khan Na Yao,Khan Na Yao,2025-W29,1
TH104002,Bang Khae Nuea,Bang Khae,2025-W29,1
TH100305,Khok Faet,Nong Chok,2025-W29,2
TH105003,Khlong Bang Bon Tai,Bang Bon,2025-W29,0
TH103902,Khlong Tan Nuea,Watthana,2025-W29,1
TH103001,Lat Yao,Chatuchak,2025-W29,2
TH101507,Samre,Thon Buri,2025-W29,0
TH104102,Talat Bang Khen,Lak Si,2025-W29,0
TH102701,Khlong Kum,Bueng Kum,2025-W29,1
TH103604,Don Mueang,Don Mueang,2025-W29,1
